Date,Month,Day,Year,Week,AM Feed,PM Feed,AM Transparency,PM Transparency,Spring Temp (F),Dec Rain,Calmar Rain,Year class,Strain,Lot,Raceway,# fish
11/12/2021,11,12,2021,46,N,N,25.7,17.4,49.6,0.08,0.1,VAR,VAR,Broods,P1,220
6/1/2020,6,1,2020,23,N,N,,17.6,50.7,0.52,0.47,2018,VAR,BroodsB8,P2,800
6/1/2020,6,1,2020,23,N,N,,17.6,50.7,0.52,0.47,2019,Arlee,ARC4,A1,10579
6/1/2020,6,1,2020,23,N,N,,17.6,50.7,0.52,0.47,2019,Shasta,STA2,A2,8318
6/1/2020,6,1,2020,23,N,N,,17.6,50.7,0.52,0.47,2019,Shasta,STA3,A3,9635
6/1/2020,6,1,2020,23,N,N,,17.6,50.7,0.52,0.47,2019,Shasta,STA7,A6,10686
6/1/2020,6,1,2020,23,N,N,,17.6,50.7,0.52,0.47,2019,Shasta,STA7,A7,9977
6/1/2020,6,1,2020,23,N,N,,17.6,50.7,0.52,0.47,2019,Shasta,STA7,A8,9674
6/1/2020,6,1,2020,23,N,N,,17.6,50.7,0.52,0.47,2019,Shasta,STB2,B2,10676
6/1/2020,6,1,2020,23,N,N,,17.6,50.7,0.52,0.47,2019,Arlee,ARC4,B4,8842
6/1/2020,6,1,2020,23,N,N,,17.6,50.7,0.52,0.47,2019,Shasta,STB6,B5,9573
6/1/2020,6,1,2020,23,N,N,,17.6,50.7,0.52,0.47,2019,Shasta,STB6,B6,8964
6/1/2020,6,1,2020,23,N,N,,17.6,50.7,0.52,0.47,2019,Arlee,ARB7,B7,9733
6/1/2020,6,1,2020,23,N,N,,17.6,50.7,0.52,0.47,2019,Shasta,STA7,B8,9074
6/1/2020,6,1,2020,23,N,N,,17.6,50.7,0.52,0.47,2019,Shasta,STC2,C2,10725
6/1/2020,6,1,2020,23,N,N,,17.6,50.7,0.52,0.47,2019,Shasta,STB6,C6,8933
6/1/2020,6,1,2020,23,N,N,,17.6,50.7,0.52,0.47,2019,Arlee,ARB7,C7,9733
6/1/2020,6,1,2020,23,N,N,,17.6,50.7,0.52,0.47,2019,Shasta,STB6,P3,16126
6/1/2020,6,1,2020,23,N,N,,17.6,50.7,0.52,0.47,2020,Irwin X Arlee,IAA4,A4,24389
6/1/2020,6,1,2020,23,N,N,,17.6,50.7,0.52,0.47,2020,Irwin X Arlee,IAB3,B3,40616
3/8/2022,3,8,2022,11,N,N,21.96,17.63,44.6,0.0,0.0,2021,Irwin X Arlee,IAC2,A1,9933
3/8/2022,3,8,2022,11,N,N,21.96,17.63,44.6,0.0,0.0,2021,Arlee,ARA2,A2,10023
3/8/2022,3,8,2022,11,N,N,21.96,17.63,44.6,0.0,0.0,2021,Shasta,STA3,A3,10010
3/8/2022,3,8,2022,11,N,N,21.96,17.63,44.6,0.0,0.0,2021,Shasta,STA4,A4,10385
3/8/2022,3,8,2022,11,N,N,21.96,17.63,44.6,0.0,0.0,2021,Shasta,STA4,A5,10595
3/8/2022,3,8,2022,11,N,N,21.96,17.63,44.6,0.0,0.0,2021,Shasta,STA6,A6,7806
3/8/2022,3,8,2022,11,N,N,21.96,17.63,44.6,0.0,0.0,2021,Arlee,ARA7,A7,9101
3/8/2022,3,8,2022,11,N,N,21.96,17.63,44.6,0.0,0.0,2021,Irwin X Arlee,IAC2,A8,9857
3/8/2022,3,8,2022,11,N,N,21.96,17.63,44.6,0.0,0.0,2021,Irwin X Arlee,IAC2,B1,"7,995"
3/8/2022,3,8,2022,11,N,N,21.96,17.63,44.6,0.0,0.0,2021,Irwin X Arlee,IAC2,B2,8132
3/8/2022,3,8,2022,11,N,N,21.96,17.63,44.6,0.0,0.0,2021,Arlee,ARA2,B3,9685
3/8/2022,3,8,2022,11,N,N,21.96,17.63,44.6,0.0,0.0,2021,Shasta,STA3,B4,9250
3/8/2022,3,8,2022,11,N,N,21.96,17.63,44.6,0.0,0.0,2021,Shasta,STA4,B5,10309
3/8/2022,3,8,2022,11,N,N,21.96,17.63,44.6,0.0,0.0,2021,Shasta,STB6,B6,7994
3/8/2022,3,8,2022,11,N,N,21.96,17.63,44.6,0.0,0.0,2021,Shasta,STA6,B7,8410
3/8/2022,3,8,2022,11,N,N,21.96,17.63,44.6,0.0,0.0,2021,Arlee,ARA7,B8,9120
3/8/2022,3,8,2022,11,N,N,21.96,17.63,44.6,0.0,0.0,2021,Irwin X Arlee,IAC2,C2,8238
3/8/2022,3,8,2022,11,N,N,21.96,17.63,44.6,0.0,0.0,2021,Arlee,ARA2,C3,9156
3/8/2022,3,8,2022,11,N,N,21.96,17.63,44.6,0.0,0.0,2021,Irwin X Arlee,IAC4,C4,10266
3/8/2022,3,8,2022,11,N,N,21.96,17.63,44.6,0.0,0.0,2021,Irwin X Arlee,IAC4,C5,10608
3/8/2022,3,8,2022,11,N,N,21.96,17.63,44.6,0.0,0.0,2021,Mix,Mix,C8,5883
3/8/2022,3,8,2022,11,N,N,21.96,17.63,44.6,0.0,0.0,VAR,VAR,Broods,P1,220
10/4/2019,10,4,2019,40,N,N,24.1,19.6,52.8,0.0,0.0,2018,Shasta,STA3,A3,8885
10/4/2019,10,4,2019,40,N,N,24.1,19.6,52.8,0.0,0.0,2018,Hot Creek,HCA6,A6,9268
10/4/2019,10,4,2019,40,N,N,24.1,19.6,52.8,0.0,0.0,2018,Hot Creek,HCB1,B1,9343
10/4/2019,10,4,2019,40,N,N,24.1,19.6,52.8,0.0,0.0,2018,Hot Creek,HCB3,B3,9169
10/4/2019,10,4,2019,40,N,N,24.1,19.6,52.8,0.0,0.0,2018,Shasta,STB4,B4,10143
10/4/2019,10,4,2019,40,N,N,24.1,19.6,52.8,0.0,0.0,2018,VAR,BroodsB8,B8,800
10/4/2019,10,4,2019,40,N,N,24.1,19.6,52.8,0.0,0.0,2018,Shasta,STC5,C5,9524
10/4/2019,10,4,2019,40,N,N,24.1,19.6,52.8,0.0,0.0,2019,Arlee,ARC4,A1,10579
10/4/2019,10,4,2019,40,N,N,24.1,19.6,52.8,0.0,0.0,2019,Irwin X Arlee,IAA5,A4,7929
10/4/2019,10,4,2019,40,N,N,24.1,19.6,52.8,0.0,0.0,2019,Irwin X Arlee,IAA5,A5,7969
10/4/2019,10,4,2019,40,N,N,24.1,19.6,52.8,0.0,0.0,2019,Shasta,STA7,A7,45846
10/4/2019,10,4,2019,40,N,N,24.1,19.6,52.8,0.0,0.0,2019,Shasta,STB6,B5,19982
10/4/2019,10,4,2019,40,N,N,24.1,19.6,52.8,0.0,0.0,2019,Shasta,STB6,B6,25432
10/4/2019,10,4,2019,40,N,N,24.1,19.6,52.8,0.0,0.0,2019,Arlee,ARB7,B7,9733
10/4/2019,10,4,2019,40,N,N,24.1,19.6,52.8,0.0,0.0,2019,Arlee,ARC4,C4,20782
10/4/2019,10,4,2019,40,N,N,24.1,19.6,52.8,0.0,0.0,2019,Arlee,ARB7,C7,9733
12/30/2019,12,30,2019,53,N,N,,21.2,,0.11,0.1,2018,Hot Creek,HCB3,B3,9169
12/30/2019,12,30,2019,53,N,N,,21.2,,0.11,0.1,2018,Shasta,STC5,C5,9524
12/30/2019,12,30,2019,53,N,N,,21.2,,0.11,0.1,2018,VAR,BroodsB8,P2,263
12/30/2019,12,30,2019,53,N,N,,21.2,,0.11,0.1,2019,Arlee,ARC4,A1,10579
12/30/2019,12,30,2019,53,N,N,,21.2,,0.11,0.1,2019,Shasta,STA2,A2,8318
12/30/2019,12,30,2019,53,N,N,,21.2,,0.11,0.1,2019,Shasta,STA3,A3,9635
12/30/2019,12,30,2019,53,N,N,,21.2,,0.11,0.1,2019,Irwin X Arlee,IAA5,A4,7929
12/30/2019,12,30,2019,53,N,N,,21.2,,0.11,0.1,2019,Irwin X Arlee,IAA5,A5,7969
