Date,Juilin Date,Month,Day,Year,row,Week,AM Feed,AM Transparency,PM Feed,PM Transparency,Stocked,Spring Temp (F),Max Spring (F),Min Spring (F),Daily turbi mean,Max daily turbi,Max air temp,Min air temp,Dec Rain,Calmar Rain,Year class,Strain,Lot,Sub Lot,Raceway,# fish,Morts,Sub Lot % morts,Lot % mort,Strain % mort,Comments
12/16/2022,44911,12,16,2022,715,51,X,16.60,X,13.14,,46.3,46.6,46.2,15.1,23.0,31,21,0.06,0.07,2022,Irwin X Arlee,IAC6,IAC6C6&C7C5,C5,8160,,0.0%,0.0%,0.0%,
12/16/2022,44911,12,16,2022,715,51,X,16.60,X,13.14,,46.3,46.6,46.2,15.1,23.0,31,21,0.06,0.07,2022,Shasta,STBC6,STBC6,C6,10059,,0.0%,0.0%,0.0%,
12/16/2022,44911,12,16,2022,715,51,X,16.60,X,13.14,,46.3,46.6,46.2,15.1,23.0,31,21,0.06,0.07,2022,Irwin X Arlee,IAA8,IAA1&A8A5C7,C7,10031,,0.0%,0.0%,0.0%,
12/16/2022,44911,12,16,2022,715,51,X,16.60,X,13.14,,46.3,46.6,46.2,15.1,23.0,31,21,0.06,0.07,2022,Irwin X Arlee,IAA8,IAA8B8C8&A8C8,C8,8471,,0.0%,0.0%,0.0%,
12/16/2022,44911,12,16,2022,715,51,X,16.60,X,13.14,,46.3,46.6,46.2,15.1,23.0,31,21,0.06,0.07,VAR,VAR,Broods,BroodsP2P1,P1,220,,0.0%,0.0%,0.0%,
2/22/2022,44614,2,22,2022,418,9,N,17.87,N,15.64,,43.9,44.1,43.9,18.4,30.5,30,17,0.05,0.03,2021,Irwin X Arlee,IAC2,IAC2&C4A1A1,A1,9933,,0.0%,0.0%,0.0%,
2/22/2022,44614,2,22,2022,418,9,N,17.87,N,15.64,,43.9,44.1,43.9,18.4,30.5,30,17,0.05,0.03,2021,Arlee,ARA2,ARA2A2&A7A2,A2,10023,,0.0%,0.0%,0.0%,
2/22/2022,44614,2,22,2022,418,9,N,17.87,N,15.64,,43.9,44.1,43.9,18.4,30.5,30,17,0.05,0.03,2021,Shasta,STA3,STA3A3,A3,10010,,0.0%,0.0%,0.0%,
2/22/2022,44614,2,22,2022,418,9,N,17.87,N,15.64,,43.9,44.1,43.9,18.4,30.5,30,17,0.05,0.03,2021,Shasta,STA4,STA4A4,A4,10385,,0.0%,0.0%,0.0%,
2/22/2022,44614,2,22,2022,418,9,N,17.87,N,15.64,,43.9,44.1,43.9,18.4,30.5,30,17,0.05,0.03,2021,Shasta,STA4,STA4A5,A5,10595,,0.0%,0.0%,0.0%,
2/22/2022,44614,2,22,2022,418,9,N,17.87,N,15.64,,43.9,44.1,43.9,18.4,30.5,30,17,0.05,0.03,2021,Shasta,STA6,STA6A6,A6,7806,,0.0%,0.0%,0.0%,
2/22/2022,44614,2,22,2022,418,9,N,17.87,N,15.64,,43.9,44.1,43.9,18.4,30.5,30,17,0.05,0.03,2021,Arlee,ARA7,ARA7A7,A7,9101,,0.0%,0.0%,0.0%,
2/22/2022,44614,2,22,2022,418,9,N,17.87,N,15.64,,43.9,44.1,43.9,18.4,30.5,30,17,0.05,0.03,2021,Irwin X Arlee,IAC2,IAC2&C4A1A8,A8,9857,,0.0%,0.0%,0.0%,
2/22/2022,44614,2,22,2022,418,9,N,17.87,N,15.64,,43.9,44.1,43.9,18.4,30.5,30,17,0.05,0.03,2021,Irwin X Arlee,IAC2,IAB1&B2&C2B1,B1,"7,995",,0.0%,0.0%,0.0%,
2/22/2022,44614,2,22,2022,418,9,N,17.87,N,15.64,,43.9,44.1,43.9,18.4,30.5,30,17,0.05,0.03,2021,Irwin X Arlee,IAC2,IAC2C2B2B2,B2,8132,,0.0%,0.0%,0.0%,
